Unnamed: 0,death_tot,hosp_tot,pos_tot,test_tot,pos_test_rate
alaska,9,0,2737,120921,0.0226
alabama,630,7752,49678,282815,0.1757
arkansas,183,1439,21734,192266,0.113
arizona,2062,6524,94795,401387,0.2362
california,3025,0,264856,3643902,0.0727
colorado,183,971,13693,202489,0.0676
connecticut,110,539,3296,315638,0.0104
district_of_columbia,34,0,1799,91446,0.0197
delaware,76,0,3314,70166,0.0472
florida,3362,12026,317952,1683093,0.1889
georgia,947,7638,105061,740809,0.1418
hawaii,8,66,1089,43625,0.025
iowa,152,0,15575,170224,0.0915
idaho,86,513,14494,89807,0.1614
illinois,568,0,35880,1096831,0.0327
indiana,325,1662,20560,263187,0.0781
kansas,88,599,13369,115782,0.1155
kentucky,170,693,14527,216889,0.067
louisiana,728,0,58185,613732,0.0948
massachusetts,555,571,8730,340289,0.0257
maryland,303,1749,20787,375336,0.0554
maine,18,40,659,72215,0.0091
michigan,257,0,19846,799390,0.0248
minnesota,164,1101,18160,229038,0.0793
missouri,228,0,28772,313766,0.0917
mississippi,590,1120,31500,166959,0.1887
montana,38,129,2998,79109,0.0379
north_carolina,581,0,57478,847069,0.0679
north_dakota,17,133,2893,47842,0.0605
nebraska,59,280,6724,92799,0.0725
new_hampshire,48,127,784,40011,0.0196
new_jersey,768,1718,9993,673955,0.0148
new_mexico,142,791,8406,213917,0.0393
nevada,323,0,29632,192335,0.1541
new_york,295,0,21560,1974299,0.0109
ohio,626,2951,39370,680405,0.0579
oklahoma,154,1641,22730,283981,0.08
oregon,115,569,9836,166559,0.0591
pennsylvania,540,0,25442,452685,0.0562
rhode_island,57,210,2111,51933,0.0406
south_carolina,973,2263,52617,312263,0.1685
south_dakota,39,158,2000,31547,0.0634
tennessee,456,1996,62450,720278,0.0867
texas,4145,0,260960,1800470,0.1449
utah,132,933,17979,188157,0.0956
virginia,411,4289,27101,465713,0.0582
vermont,1,0,206,28604,0.0072
washington,244,1245,23550,425434,0.0554
wisconsin,157,1191,25272,367882,0.0687
west_virginia,23,0,3737,112224,0.0333
wyoming,6,49,1239,19627,0.0631
